year,direction_ferme,total_value,total_relative,total_slope,total_reg,total_relative,total_peace_reg_memory,total_peace_reg_no_memory,total_avg_war_loss_memory,total_avg_war_loss_no_memory,imports_value,imports_relative,imports_slope,imports_reg,imports_relative,imports_peace_reg_memory,imports_peace_reg_no_memory,imports_avg_war_loss_memory,imports_avg_war_loss_no_memory,exports_value,exports_relative,exports_slope,exports_reg,exports_relative,exports_peace_reg_memory,exports_peace_reg_no_memory,exports_avg_war_loss_memory,exports_avg_war_loss_no_memory,total_no_colonial_product_value,total_no_colonial_product_relative,total_no_colonial_product_slope,total_no_colonial_product_reg,total_no_colonial_product_relative,total_no_colonial_product_peace_reg_memory,total_no_colonial_product_peace_reg_no_memory,total_no_colonial_product_avg_war_loss_memory,total_no_colonial_product_avg_war_loss_no_memory,total_no_colonial_trade_value,total_no_colonial_trade_relative,total_no_colonial_trade_slope,total_no_colonial_trade_reg,total_no_colonial_trade_relative,total_no_colonial_trade_peace_reg_memory,total_no_colonial_trade_peace_reg_no_memory,total_no_colonial_trade_avg_war_loss_memory,total_no_colonial_trade_avg_war_loss_no_memory,imports_no_colonial_product_value,imports_no_colonial_product_relative,imports_no_colonial_product_slope,imports_no_colonial_product_reg,imports_no_colonial_product_relative,imports_no_colonial_product_peace_reg_memory,imports_no_colonial_product_peace_reg_no_memory,imports_no_colonial_product_avg_war_loss_memory,imports_no_colonial_product_avg_war_loss_no_memory,exports_no_colonial_product_value,exports_no_colonial_product_relative,exports_no_colonial_product_slope,exports_no_colonial_product_reg,exports_no_colonial_product_relative,exports_no_colonial_product_peace_reg_memory,exports_no_colonial_product_peace_reg_no_memory,exports_no_colonial_product_avg_war_loss_memory,exports_no_colonial_product_avg_war_loss_no_memory,imports_no_colonial_trade_value,imports_no_colonial_trade_relative,imports_no_colonial_trade_slope,imports_no_colonial_trade_reg,imports_no_colonial_trade_relative,imports_no_colonial_trade_peace_reg_memory,imports_no_colonial_trade_peace_reg_no_memory,imports_no_colonial_trade_avg_war_loss_memory,imports_no_colonial_trade_avg_war_loss_no_memory,exports_no_colonial_trade_value,exports_no_colonial_trade_relative,exports_no_colonial_trade_slope,exports_no_colonial_trade_reg,exports_no_colonial_trade_relative,exports_no_colonial_trade_peace_reg_memory,exports_no_colonial_trade_peace_reg_no_memory,exports_no_colonial_trade_avg_war_loss_memory,exports_no_colonial_trade_avg_war_loss_no_memory
1757,Bayonne,18611987.65773474,0.055373939324358405,0.1,17920892.815499328,0.055373939324358405,17552835.4867688,17552835.4867688,22.6%,40.3%,5846503.62257067,0.03973794605692108,0.3,6388815.911520214,0.03973794605692108,6819286.967828275,6819286.967828275,13.4%,23.8%,12765484.03516407,0.06754649649985406,-0.4,11935105.543719435,0.06754649649985406,10761541.067738337,10761541.067738337,29.2%,49.7%,16603588.97848386,,0.3,15630639.22443071,,14688400.80210848,14688400.80210848,31.5%,49.0%,9782492.75985646,,0.5,10378685.515385477,,9711123.57535645,9711123.57535645,29.0%,37.4%,5012054.37992823,,0.4,5323317.251931034,,5120089.923046211,5120089.923046211,28.9%,36.9%,11591534.59855563,,0.2,10326343.959511263,,9659048.314344099,9659048.314344099,31.3%,52.7%,4891246.37992823,,0.5,5182241.124483663,,4855561.78767825,4855561.78767825,30.1%,37.3%,4891246.37992823,,0.5,5189342.757692756,,4855561.78767825,4855561.78767825,29.0%,37.4%
1757,La Rochelle,15827263.197905345,0.04708889389507202,-0.7,14998650.151370348,0.04708889389507202,20673840.69697679,16448473.375819903,47.4%,42.5%,7261098.0103398,0.04935276528949285,-0.5,6527685.693980327,0.04935276528949285,10355266.71681836,8556226.917632082,149.9%,144.1%,8566165.187565545,0.04532647922046703,-0.8,8351938.003926681,0.04532647922046703,10293999.665976055,7936947.700808612,-0.4%,-1.6%,13720239.882770654,,-1.3,11679299.804901112,,15997783.883447764,14252804.421544338,44.1%,34.1%,6399163.0339124,,1.8,3755964.7877037306,,4736414.276617298,6794162.5804890385,8.1%,-17.7%,6629970.0195958,,-1.0,4382939.6826725,,7520729.2128031645,7363633.921358325,99.7%,86.6%,7090269.863174854,,-1.4,7071086.621988936,,8458876.415481482,6926203.961567047,7.4%,2.2%,3199581.5169562,,1.8,1856765.6615032325,,2368207.1383086443,3397081.290244513,9.3%,-17.2%,3199581.5169562,,1.8,1877982.3938518818,,2368207.1383086443,3397081.290244513,8.1%,-17.7%
1770,Marseille,151567891.10335043,0.23796213791096824,1.1,138737512.37419125,0.23796213791096824,,,-39.5%,-30.6%,88861607.23503116,0.2623336358795849,1.8,77761343.39885713,0.2623336358795849,,,-40.0%,-29.8%,62706283.86831927,0.21027832791921214,0.3,57788652.41694848,0.21027832791921214,,,-41.6%,-33.6%,124001305.58759303,,0.9,115407722.09855165,,,,-38.2%,-27.0%,138117320.96586007,,1.5,124483853.59632729,,,,-35.9%,-21.0%,73671184.88459271,,1.6,65504109.622463554,,,,-38.0%,-24.8%,50330120.70300032,,0.1,48085205.50862327,,,,-40.0%,-29.9%,69058660.48293003,,1.5,62401409.439780794,,,,-35.4%,-19.2%,69058660.48293003,,1.5,62241926.79816376,,,,-35.9%,-21.0%
1770,Rouen,49023498.41898596,0.0769670700485124,2.5,66619567.674024835,0.0769670700485124,,,30.0%,25.3%,32609788.67622467,0.0962692966611852,3.3,40550786.40914294,0.0962692966611852,,,53.9%,47.8%,16413709.74276129,0.055041492283405435,1.3,25326696.29332992,0.055041492283405435,,,6.6%,3.6%,30513479.96791698,,2.0,45102103.30004735,,,,97.5%,93.3%,32102338.62937304,,3.1,45191803.93713323,,,,157.2%,145.3%,20786020.31468677,,3.0,28680748.003553424,,,,126.8%,119.7%,9727459.65323021,,0.1,15687403.044739531,,,,71.2%,70.8%,16051169.31468652,,3.1,22595901.968566734,,,,157.2%,145.3%,16051169.31468652,,3.1,22595901.968566734,,,,157.2%,145.3%
1770,Bordeaux,213694561.32338905,0.33550123513815977,3.7,102851568.04906753,0.33550123513815977,,,-49.2%,-57.2%,120965561.67024802,0.3571096291927337,4.2,40153911.695268184,0.3571096291927337,,,-38.5%,-53.8%,92728999.65314105,0.31095606044253277,3.2,59329196.16813666,0.31095606044253277,,,-56.9%,-60.6%,92374263.953163,,2.2,48327920.25123034,,,,-53.2%,-55.5%,66916100.58845435,,3.0,21384490.68153178,,,,-46.2%,-38.5%,46825406.994827725,,2.9,16056685.280039357,,,,-47.7%,-40.4%,45548856.95833528,,1.9,31672600.764338035,,,,-53.5%,-55.1%,33458050.294227175,,3.0,11067835.940972907,,,,-47.0%,-41.8%,33458050.294227175,,3.0,10692245.340765946,,,,-46.2%,-38.5%
1770,Nantes,49078708.37596751,0.0770537498809074,1.2,35281462.116901614,0.0770537498809074,,,-41.9%,-38.6%,31402321.577535115,0.0927046612234488,1.1,15071977.89414182,0.0927046612234488,,,-48.6%,-46.3%,17676386.798432395,0.059275734907733836,0.6,16699099.56715334,0.059275734907733836,,,-24.4%,13.7%,25811000.358326327,,0.6,19970516.376713756,,,,-23.1%,6.9%,27769979.1473788,,-0.2,9230119.317150999,,,,-30.2%,53.9%,16681840.624508174,,0.0,6862111.9102567,,,,-34.6%,31.5%,9129159.733818153,,0.6,11169788.270930488,,,,-6.7%,42.0%,13884989.5736894,,-0.1,4663808.070696755,,,,-31.5%,56.8%,13884989.5736894,,-0.2,4615059.658575491,,,,-30.2%,53.9%
1770,Bayonne,14311781.784609921,0.02246954922965044,0.1,18148834.108221862,0.02246954922965044,,,22.6%,40.3%,5648601.76058723,0.01667557321545393,0.3,6619165.311582235,0.01667557321545393,,,13.4%,23.8%,8663180.024022691,0.029050980181508854,-0.4,11327335.775695983,0.029050980181508854,,,29.2%,49.7%,12634141.669589091,,0.3,16310795.704026688,,,,31.5%,49.0%,9074784.10517896,,0.5,11086928.772435987,,,,29.0%,37.4%,4564002.0525967805,,0.4,5602201.997567359,,,,28.9%,36.9%,8070139.616992311,,0.2,10532017.665642802,,,,31.3%,52.7%,4537392.05258948,,0.5,5506511.901161709,,,,30.1%,37.3%,4537392.05258948,,0.5,5543464.386218003,,,,29.0%,37.4%
1770,La Rochelle,10849680.535732154,0.017034037731470233,-0.7,13634017.792166917,0.017034037731470233,,,47.4%,42.5%,4675885.09933538,0.013803958506168631,-0.5,6092632.982181558,0.013803958506168631,,,149.9%,144.1%,6173795.436396775,0.02070311460342599,-0.8,7501183.887087909,0.02070311460342599,,,-0.4%,-1.6%,7075367.338507865,,-1.3,9898932.56651135,,,,44.1%,34.1%,4327096.42615878,,1.8,4773060.057997743,,,,8.1%,-17.7%,2830310.11217157,,-1.0,3867419.6816346496,,,,99.7%,86.6%,4245057.226336295,,-1.4,5925316.010673673,,,,7.4%,2.2%,2163548.21307939,,1.8,2353912.3191079735,,,,9.3%,-17.2%,2163548.21307939,,1.8,2386530.028998875,,,,8.1%,-17.7%
1763,Marseille,169785284.9060642,0.3826147394823331,1.1,128171320.26836383,0.3826147394823331,186634533.8580556,126277877.11869489,-39.5%,-30.6%,89767126.83849733,0.48569427055682296,1.8,68557378.20427269,0.48569427055682296,100157166.30190037,64922557.278575525,-40.0%,-29.8%,80018158.06756689,0.3090366897929949,0.3,56679722.907910064,0.3090366897929949,80833955.01831111,56591773.47161654,-41.6%,-33.6%,142388924.57498902,,0.9,108406410.97073756,,161012292.90030143,102166399.85699794,-38.2%,-27.0%,132687047.80941622,,1.5,112298348.92033619,,188978166.84701553,101070036.37546974,-35.9%,-21.0%,69700948.87807575,,1.6,58567363.40920032,,86355758.78289549,50405947.85982723,-38.0%,-24.8%,72687975.69691329,,0.1,47852926.62996012,,67928042.39955418,45876528.97906135,-40.0%,-29.9%,66343523.90470811,,1.5,56028389.81706152,,85374491.65635931,44426332.15749923,-35.4%,-19.2%,66343523.90470811,,1.5,56149174.46016798,,94489083.42350759,50535018.18773406,-35.9%,-21.0%
1763,Rouen,45496805.892668694,0.10252801674498917,2.5,55761816.22558067,0.10252801674498917,35060260.035069674,35060260.035069674,30.0%,25.3%,23824953.36938641,0.1289073601365602,3.3,32136347.327734295,0.1289073601365602,14073123.053521525,14073123.053521525,53.9%,47.8%,21671852.52328229,0.08369847203708285,1.3,23185713.09047341,0.08369847203708285,22918293.894243,22918293.894243,6.6%,3.6%,39888433.2691375,,2.0,39236437.35038987,,16909362.8134576,16909362.8134576,97.5%,93.3%,30615416.25393374,,3.1,36337405.11885865,,9140937.76567844,9140937.76567844,157.2%,145.3%,20300729.95827831,,3.0,23200610.56523784,,6880921.676754013,6880921.676754013,126.8%,119.7%,19587703.31085919,,0.1,15568465.807773763,,10938667.916278984,10938667.916278984,71.2%,70.8%,15307708.12696687,,3.1,18168702.55942942,,4570468.88283921,4570468.88283921,157.2%,145.3%,15307708.12696687,,3.1,18168702.55942942,,4570468.88283921,4570468.88283921,157.2%,145.3%
1763,Bordeaux,42108656.500121914,0.09489275025017052,3.7,79347509.48127322,0.09489275025017052,157290265.6967523,205123002.0719624,-49.2%,-57.2%,15484627.192607682,0.08378116771731835,4.2,30018019.870061643,0.08378116771731835,44431149.24220834,34110735.138909064,-38.5%,-53.8%,26624029.30751423,0.10282418497059592,3.2,47525608.733499505,0.10282418497059592,111883546.57615617,194437023.66083226,-56.9%,-60.6%,29538789.618085355,,2.2,41322232.22200102,,79009014.0234356,96066751.54331602,-53.2%,-55.5%,10519481.571252506,,3.0,17364686.360792104,,25538293.516160466,10399529.30061894,-46.2%,-38.5%,9599851.239022093,,2.9,13084417.16052152,,15988027.725508988,7319862.231757863,-47.7%,-40.4%,19938938.37906326,,1.9,27749256.86805032,,61151794.502412416,110725319.64015524,-53.5%,-55.1%,5259740.785626253,,3.0,8943327.778095106,,12916524.103285553,5199764.650309387,-47.0%,-41.8%,5259740.785626253,,3.0,8682343.180396097,,12769146.75808012,5199764.650309387,-46.2%,-38.5%
1763,Nantes,26764634.611834913,0.06031467158660279,1.2,32484263.911044143,0.06031467158660279,25656124.421796415,20249685.805524908,-41.9%,-38.6%,12612316.607264312,0.0682402359342293,1.1,13979513.898632051,0.0682402359342293,13798726.261958664,9698953.965608016,-48.6%,-46.3%,14152318.0045706,0.05465741295041145,0.6,16006373.921993395,0.05465741295041145,16359249.109431567,19516006.076503597,-24.4%,13.7%,19515145.026653107,,0.6,19210958.457871974,,11321147.273713632,6351906.665315053,-23.1%,6.9%,5011015.006621559,,-0.2,9359526.207706902,,6204212.408413651,896246.3740673491,-30.2%,53.9%,8042691.182263213,,0.0,6851195.7891615955,,4866936.109354549,1090498.0752910515,-34.6%,31.5%,11472453.844389893,,0.6,10700595.406355737,,8533863.29210467,14369401.46336373,-6.7%,42.0%,2505507.5033107796,,-0.1,4712433.331188307,,3102106.204206776,448123.18703367375,-31.5%,56.8%,2505507.5033107796,,-0.2,4679763.103853442,,3102106.204206776,448123.18703367375,-30.2%,53.9%
1763,Bayonne,21338824.63740549,0.04808749376612483,0.1,18025738.557735935,0.04808749376612483,18174221.563314687,18174221.563314687,22.6%,40.3%,6681517.054268036,0.036151035085752216,0.3,6494117.659340931,0.036151035085752216,6531705.340926257,6531705.340926257,13.4%,23.8%,14657307.583137453,0.05660772412363895,-0.4,11650646.842318045,0.05660772412363895,11801229.003855824,11801229.003855824,29.2%,49.7%,19294620.88845586,,0.3,15940959.791832302,,15123151.965412226,15123151.965412226,31.5%,49.0%,10687733.208918752,,0.5,10699762.91783473,,7914195.11793455,7914195.11793455,29.0%,37.4%,5519893.104585826,,0.4,5450264.986044304,,4378123.445527572,4378123.445527572,28.9%,36.9%,13774727.783870032,,0.2,10420766.389665615,,11345100.626963079,11345100.626963079,31.3%,52.7%,5343866.604459376,,0.5,5329461.054661163,,3957097.558967296,3957097.558967296,30.1%,37.3%,5343866.604459376,,0.5,5349881.458917374,,3957097.558967296,3957097.558967296,29.0%,37.4%
1763,La Rochelle,,0.0,-0.7,14352627.470399374,0.0,21387330.080032382,13074970.084667971,47.4%,42.5%,,0.0,-0.5,6323160.585221167,0.0,11065090.98038157,7325233.234216371,149.9%,144.1%,,0.0,-0.8,7947912.0801349515,0.0,10348544.135937022,5921829.010380642,-0.4%,-1.6%,,,-1.3,10820945.722550936,,16108624.987309044,12553898.41435381,44.1%,34.1%,,,1.8,4195235.123554287,,4754908.8688946245,10290621.06090846,8.1%,-17.7%,,,-1.0,4136981.318302766,,7886273.154012304,7513857.870450475,99.7%,86.6%,,,-1.4,6517059.83079382,,8247143.559205203,5368758.041757407,7.4%,2.2%,,,1.8,2071623.7148266535,,2377454.4344473076,5145310.530454219,9.3%,-17.2%,,,1.8,2097617.5617771465,,2377454.4344473076,5145310.530454219,8.1%,-17.7%
1751,Marseille,138986808.49111035,0.2957352677848066,1.1,111895909.07830423,0.2957352677848066,,,-39.5%,-30.6%,67624214.96659152,0.31899430396494133,1.8,55241618.446420506,0.31899430396494133,,,-40.0%,-29.8%,71362593.52451883,0.27662232233148154,0.3,54827982.236282505,0.27662232233148154,,,-41.6%,-33.6%,120241210.2005992,,0.9,97377999.32789785,,,,-38.2%,-27.0%,121368956.53832646,,1.5,94118895.68834531,,,,-35.9%,-21.0%,61522770.473576665,,1.6,48341410.40603285,,,,-38.0%,-24.8%,58718439.727022536,,0.1,47457341.7212778,,,,-40.0%,-29.9%,60684478.26916323,,1.5,46580390.89976416,,,,-35.4%,-19.2%,60684478.26916323,,1.5,47059447.84417257,,,,-35.9%,-21.0%
1751,Rouen,,0.0,2.5,41103877.9911512,0.0,,,30.0%,25.3%,,0.0,3.3,21569938.636433266,0.0,,,53.9%,47.8%,,0.0,1.3,19928001.173449438,0.0,,,6.6%,3.6%,,,2.0,30900313.760020647,,,,97.5%,93.3%,,,3.1,25003520.847042393,,,,157.2%,145.3%,,,3.0,16129801.644193344,,,,126.8%,119.7%,,,0.1,15366667.55401524,,,,71.2%,70.8%,,,3.1,12501760.423521174,,,,157.2%,145.3%,,,3.1,12501760.423521174,,,,157.2%,145.3%
1751,Bordeaux,60095279.159930855,0.1278703617120727,3.7,50859451.26798977,0.1278703617120727,,,-49.2%,-57.2%,26737232.395567965,0.1261238277174336,4.2,18230106.611455105,0.1261238277174336,,,-38.5%,-53.8%,33358046.764362894,0.12930556344241897,3.2,32491672.882743992,0.12930556344241897,,,-56.9%,-60.6%,36672930.18995942,,2.2,31592775.124542758,,,,-53.2%,-55.5%,26849151.44184757,,3.0,12151802.810083793,,,,-46.2%,-38.5%,16425674.826527866,,2.9,9211954.582191404,,,,-47.7%,-40.4%,20247255.363431554,,1.9,22120547.236557465,,,,-53.5%,-55.1%,13424575.720923785,,3.0,6206099.746754283,,,,-47.0%,-41.8%,13424575.720923785,,3.0,6075901.405041928,,,,-46.2%,-38.5%
1751,Nantes,,0.0,1.2,28195222.447184302,0.0,,,-41.9%,-38.6%,,0.0,1.1,12287749.127954174,0.0,,,-48.6%,-46.3%,15755534.79875197,0.06107306938203978,0.6,14885037.613159008,0.06107306938203978,,,-24.4%,13.7%,,,0.6,17975459.99522696,,,,-23.1%,6.9%,,,-0.2,9585601.676477347,,,,-30.2%,53.9%,,,0.0,6832522.823995082,,,,-34.6%,31.5%,8942077.85157786,,0.6,9941657.68212455,,,,-6.7%,42.0%,,,-0.1,4796973.330188454,,,,-31.5%,56.8%,,,-0.2,4792800.838238664,,,,-30.2%,53.9%
